Rogerio Dutra Silva:1984.08
Noam Okun:1978.25
Paul Capdeville:1983.25
Chip Hooper:1958.75
Ben Qiang Zhu:1979.17
Patrick Baur:1965.33
Eduardo Masso:1964.0
Christopher Oconnell:Fail
Filip Misolic:2001.58
Liam Broady:1994.0
Mike De Palmer:1961.75
Glenn Weiner:1976.25
Vincent Van Patten:1957.75
Jan Frode Andersen:1972.58
Daniel Koellerer:1983.58
Libor Nemecek:1968.75
Sergio Cortes:1968.0
Donald Johnson:1968.67
Marcello Craca:1974.75
Radomir Vasek:1972.67
David Nainkin:1970.67
Tennys Sandgren:1991.5
Oscar Serrano:Fail
Mark Kratzmann:1966.33
Julien Varlet:1977.67
Simon Larose:1978.42
Tomas Nydahl:1968.17
Martin Lee:1938.42
Tarik Benhabiles:1965.08
Ricki Osterthun:1964.33
Yves Allegro:1978.58
Andreas Maurer:1958.17
Andrej Martin:1989.67
Zack Fleishman:1980.17
Geoff Grant:1970.0
Glenn Layendecker:1961.33
Robbie Weiss:1966.92
Nuno Borges:1997.08
Andreas Haider Maurer:1987.17
Igor Sijsling:1987.58
Marcio Carlsson:1975.0
Frederic Niemeyer:1976.25
Rod Frawley:1952.67
Lamine Ouahab:1984.92
Martin Strelba:1967.17
Butch Walts:1955.42
Shane Barr:1969.75
James Sekulov:1976.75
Oliver Marach:1980.5
Rinky Hijikata:2001.08
Simon Youl:1965.5
Christo Steyn:1961.33
Raven Klaasen:1982.75
Mirza Basic:1991.5
Edouard Roger-Vasselin:1983.83
Nikola Milojevic:1981.25
Cecil Mamiit:1976.42
Oscar Otte:1993.5
Joey Rive:1963.5
Marcos Daniel:1978.5
Denis Kudla:1992.58
Marcos Aurelio Gorriz:1964.17
Joost Winnink:1971.42
Christian Harrison:1994.33
Alexandre Muller:1997.08
Izak Van Der Merwe:1984.0
Jaume Munar:1997.33
Kevin Kim:1978.5
Jan Hajek:1983.58
Massimiliano Narducci:1964.08
Alessio Di Mauro:1977.58
Rodney Harmon:1961.58
Taro Daniel:1993.0
Udo Riglewski:1966.5
Alun Jones:1980.25
Razvan Sabau:1977.42
Miguel Tobon:1968.42
Tim Smyczek:1987.92
Chris Wilkinson:1970.0
Nick Brown:1950.42
Alexander Mronz:1965.25
Thomas Hogstedt:1963.67
Bart Wuyts:1969.67
Noam Behr:1975.75
Alex Lopez Moron:1970.83
Ken Flach:1963.33
Benjamin Bonzi:1996.42
Jacobo Diaz:1976.5
Thiago Seyboth Wild:2000.17
Nuno Marques:1970.25
Michael Sell:1972.58
Yosuke Watanuki:1998.25
Yahiya Doumbia:1963.58
Sergio Roitman:1979.33
Stephane Huet:1971.25
Shahar Perkiss:1962.75
Thierry Ascione:1981.0
Lukas Dlouhy:1983.25
Richard Matuszewski:1964.67
Marco Cecchinato:1992.67
Owen Casey:1969.75
Mark Knowles:1971.67
Brent Larkham:1972.0
Hugo Armando:1978.33
Leif Shiras:1959.58
Go Soeda:1984.67
Antoine Bellier:1996.75
Ilija Bozoljac:1985.58
Dinu Pescariu:1974.25
Danny Saltz:1961.5
Bruce Manson:1956.17
Blaz Kavcic:1987.17
Henri Laaksonen:1992.17
Juan Ignacio Londero:1993.58
Markus Rackl:1969.17
Edgardo Massa:1981.17
Ellis Ferreira:1970.08
Ivo Heuberger:1976.08
Orest Tereshchuk:1981.58
Alexander Reichel:1971.17
Stefano Travaglia:1991.92
Michael Ryderstedt:1984.83
Sergei Bubka:1963.92
Marco Trungelliti:1990.0
Giovanni Lapentti:1983.0
Alexander Peya:1980.42
Thiago Monteiro:1994.33
Jose De Armas:1981.17
Ruben Bemelmans:1988.0
Raymond Moore:1946.58
Gianluca Mager:1994.92
Frederic Fontang:1970.17
Tom Nijssen:1964.75
Luca Nardi:2003.58
Bob Green:1960.17
Paul Kilderry:1973.25
Danie Visser:1961.5
Van Winitsky:1959.17
Facundo Diaz Acosta:2000.92
Jose Antonio Pepe Conde:Fail
Alex Bolt:1993.0
Melle Van Gemerden:1979.33
Paolo Pambianco:1967.5
Russell Simpson:1954.08
Steven Downs:1975.67
Thierry Pham:1962.25
Facundo Bagnis:1990.08
Massimo Valeri:1972.17
Giorgio Galimberti:1976.67
Jeff Salzenstein:1973.75
Dick Stockton:1942.83
Renzo Olivo:1992.17
Neil Borwick:1967.67
Jose Luis Damiani:1956.83
Daniel Elahi Galan:1996.42
Eric Wilborts:1964.42
Robert Vant Hof:Fail
Vincent Millot:1986.0
Lee Childs:1982.83
Yannick Maden:1989.75
Roberto Jabali:1970.33
Pascal Portes:1959.33
Alexandre Simoni:1979.5
Kelly Jones:1974.42
Christopher Eubanks:1996.33
Onny Parun:1947.25
Roberto Arguello:1963.33
Andrew Richardson:1974.17
Mike Leach:1960.17
Broderick Dyke:1960.92
Oleg Ogorodov:1972.5
Martin Laurendeau:1964.5
Chris Pridham:1965.25
Lars Anders Wahlgren:1966.58
Bobby Reynolds:1982.5
Paul Vojtischek:1963.42
